Month,Day,Hour,Minute,Second,Microsecond,Speed,Vx,Vy,PosX,PosY,PosZ,Bx,By,Flow Mag,Flow Angle
9,4,19,6,1,236678,0.3403956933017117,0.3397311568260193,0.02125956490635872,-0.0318438895046711,0.0855792760848999,0.8243957161903381,5.640000000000001,0.7600000000000051,5.690975311842427,205.5827692715367
9,4,19,6,1,284167,0.34331748171575593,0.34283334016799927,0.018226193264126778,-0.010373693890869617,0.08469799906015396,0.8254668712615967,2.6400000000000006,0.7600000000000051,2.747216773390846,205.5827692715367
9,4,19,6,1,331672,0.3379961691658357,0.33737272024154663,0.020519698038697243,0.006003722548484802,0.08825691789388657,0.8319427967071533,3.6400000000000006,0.7600000000000051,3.7184943189414734,202.91042083889684
9,4,19,6,1,395058,0.33175365293629716,0.33114802837371826,0.02003670483827591,0.021756554022431374,0.08921463042497635,0.8355187177658081,3.6400000000000006,-0.23999999999999488,3.647903507495778,195.28982951451084
9,4,19,6,1,442270,0.3283197566108914,0.3277626037597656,0.019119052216410637,0.040475115180015564,0.08994224667549133,0.8387157917022705,1.6400000000000006,0.7600000000000051,1.8075397644312032,191.33307850429628
9,4,19,6,1,489560,0.3262904106143582,0.3256649374961853,0.02019357681274414,0.059583891183137894,0.09200636297464371,0.8431235551834106,4.640000000000001,-1.2399999999999949,4.802832497599723,186.84493076472526
9,4,19,6,1,537250,0.3209423935427444,0.3206166625022888,0.014455991797149181,0.07594653964042664,0.08844907581806183,0.8374099135398865,1.6400000000000006,1.7600000000000051,2.4056599926007873,192.8344744429954
9,4,19,6,1,584711,0.3160401457729421,0.3153550922870636,0.02079758420586586,0.09155464172363281,0.09548038244247437,0.8338592052459717,3.6400000000000006,0.7600000000000051,3.7184943189414734,192.8344744429954
9,4,19,6,1,632228,0.30451358532809053,0.30337586998939514,0.026298386976122856,0.10066217929124832,0.10164673626422882,0.8349781632423401,2.6400000000000006,-0.23999999999999488,2.6508866441249426,192.5419191960554
9,4,19,6,1,695637,0.30307567681377795,0.30192720890045166,0.0263595599681139,0.11760024726390839,0.10416949540376663,0.8327430486679077,2.6400000000000006,0.7600000000000051,2.747216773390846,190.67395764675382
9,4,19,6,1,742852,0.30309340212040514,0.3019346296787262,0.026478100568056107,0.13471150398254395,0.10755028575658798,0.8306323289871216,3.6400000000000006,0.7600000000000051,3.7184943189414734,196.0977967090873
9,4,19,6,1,791925,0.3013791253271077,0.30018433928489685,0.026809319853782654,0.1495886892080307,0.11144351959228516,0.8312334418296814,3.6400000000000006,1.7600000000000051,4.043167075449643,192.0766285395851
